company_name,company_domain,careers_url,ats_platform,ats_tenant_or_slug,job_board_url,country_or_region_focus,industry,evidence_url,reason_accepted
Benefex,benefex.com,https://benefex.teamtailor.com/jobs,Teamtailor,benefex,https://benefex.teamtailor.com/jobs,Global/UK,Employee benefits technology,https://benefex.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Corndel,corndel.com,https://corndel.teamtailor.com/jobs,Teamtailor,corndel,https://corndel.teamtailor.com/jobs,UK,Education and workforce training,https://corndel.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Frauenthal Gnotec,gnotec.com,https://gnotecunitedstates.teamtailor.com/jobs,Teamtailor,gnotecunitedstates,https://gnotecunitedstates.teamtailor.com/jobs,Europe/US,Automotive and industrial manufacturing,https://gnotecunitedstates.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Pubity Group,pubity.com,https://pubitygroupltd.teamtailor.com/jobs,Teamtailor,pubitygroupltd,https://pubitygroupltd.teamtailor.com/jobs,Global/UK,Media and social publishing,https://pubitygroupltd.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Log my Care,logmycare.co.uk,https://logmycare-1732894388.teamtailor.com/jobs,Teamtailor,logmycare-1732894388,https://logmycare-1732894388.teamtailor.com/jobs,UK,Healthcare software,https://logmycare-1732894388.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Orbit Partners,orbitpartners.com,https://orbitpartners.teamtailor.com/jobs,Teamtailor,orbitpartners,https://orbitpartners.teamtailor.com/jobs,UK/US,Private markets advisory,https://orbitpartners.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Awaceb,awaceb.com,https://awaceb.teamtailor.com/jobs,Teamtailor,awaceb,https://awaceb.teamtailor.com/jobs,Canada/Europe,Video games,https://awaceb.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Qarma,qarmainspect.com,https://qarmainspect.teamtailor.com/jobs,Teamtailor,qarmainspect,https://qarmainspect.teamtailor.com/jobs,Europe/APAC,Supply chain quality software,https://qarmainspect.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
IPF Digital,ipfdigital.com,https://ipfdigital.teamtailor.com/jobs,Teamtailor,ipfdigital,https://ipfdigital.teamtailor.com/jobs,Europe/LATAM/APAC,Fintech and consumer lending,https://ipfdigital.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Softonic,softonic.com,https://softonic.teamtailor.com/jobs,Teamtailor,softonic,https://softonic.teamtailor.com/jobs,Europe,Software marketplace and media,https://softonic.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
